"TOA5","CR1000X_NessLake","CR1000X","3875","CR1000X.Std.02.00","CPU:NESSLAKE_20210510.CR1X","35166","Table1"
"TIMESTAMP","RECORD","BattV","AirTC_Avg","RH","Snow_Depth_Avg","SignalQuality_Avg","Rain_mm_Tot","WS_ms_Avg","WS_ms_Std","WindDir","Pressure","GroundTemp_10cm","SoilTemp_20cm","LakeTemp"
"TS","RN","Volts","Deg C","%","meters","","mm","meters/second","meters/second","degrees","","Deg C","Deg C","Deg C"
"","","Smp","Avg","Smp","Avg","Avg","Tot","Avg","Std","Smp","Smp","Smp","Smp","Smp"
"2025-08-16 00:00:00",148898,13.42,12.92,94,-0.003,211.9,0,0.386,0.194,44.53,909.6942,12.4,15.46,19.4
"2025-08-16 00:15:00",148899,13.42,12.89,93.8,-0.003,219.9,0,0.32,0.152,50.92,909.6941,12.34,15.45,19.43
"2025-08-16 00:30:00",148900,13.42,12.85,93.7,-0.001,235.9,0,0.324,0.122,44.08,909.694,12.45,15.43,19.45
"2025-08-16 00:45:00",148901,13.42,12.97,93.2,0.003,251.7,0,0.399,0.156,52.29,909.6941,12.5,15.42,19.43
"2025-08-16 01:00:00",148902,13.42,13.07,92.2,0.004,272.9,0,0.403,0.214,160.2,909.694,12.29,15.4,19.44
"2025-08-16 01:15:00",148903,13.42,13.04,91.5,0.004,236.3,0,0.449,0.182,103.2,909.6935,12.39,15.39,19.42
"2025-08-16 01:30:00",148904,13.42,13.06,91.1,0.001,237.7,0,0.465,0.19,111.4,909.5697,12.21,15.37,19.41
"2025-08-16 01:45:00",148905,13.42,13.03,90.7,0.001,242.8,0,0.468,0.141,67.91,909.5693,12.36,15.35,19.39
"2025-08-16 02:00:00",148906,13.43,12.95,90.9,0,245.6,0,0.436,0.14,142.5,909.5687,11.99,15.34,19.39
"2025-08-16 02:15:00",148907,13.43,12.75,91.4,-0.005,209.4,0,0.368,0.177,47.33,909.6926,11.51,15.32,19.38
"2025-08-16 02:30:00",148908,13.43,12.32,92.7,-0.006,207.3,0,0.351,0.093,46.39,909.8138,11.54,15.3,19.37
"2025-08-16 02:45:00",148909,13.43,12.18,93.2,-0.007,208.7,0,0.429,0.136,42.62,909.8132,11.36,15.28,19.34
"2025-08-16 03:00:00",148910,13.44,12.06,93.5,-0.006,201.2,0,0.419,0.115,42.13,909.8128,11.42,15.26,19.36
"2025-08-16 03:15:00",148911,13.44,12.13,93.7,-0.004,200.2,0,0.375,0.163,43.17,909.8129,11.6,15.25,19.34
"2025-08-16 03:30:00",148912,13.44,12.26,93.4,-0.004,206.1,0,0.249,0.207,39.58,909.8127,11.56,15.23,19.36
"2025-08-16 03:45:00",148913,13.44,12.3,93.2,-0.004,200.5,0,0.327,0.146,23.38,909.8125,11.84,15.21,19.31
"2025-08-16 04:00:00",148914,13.44,12.41,93,-0.004,200.3,0,0.258,0.161,40.32,909.8125,12.06,15.19,19.3
"2025-08-16 04:15:00",148915,13.43,12.57,92.7,-0.003,203.7,0,0.293,0.154,39.02,909.9374,12.11,15.17,19.3
"2025-08-16 04:30:00",148916,13.43,12.64,92.4,-0.003,201,0,0.324,0.148,38.78,909.9378,12,15.14,19.32
"2025-08-16 04:45:00",148917,13.43,12.57,92.7,-0.002,203.1,0,0.098,0.1,348.9,910.0565,12.08,15.12,19.36
"2025-08-16 05:00:00",148918,13.43,12.6,92.8,-0.001,209.8,0,0.018,0.038,351.8,910.181,12,15.1,19.39
"2025-08-16 05:15:00",148919,13.43,12.54,93,0.001,206,0,0.009,0.02,351.7,910.3018,12.06,15.08,19.38
