TOA5,CR350_Browntop,CR350,9765,CR350.Std.01.07,CPU:BrownTop.CRB,15701,Table1,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Avg,SlrFD_W_Avg,Rain_Tot,Strikes_Tot,Dist_km_Max,Dist_km_TMx,CV_WS_Avg,CV_WS_S_WVT,CV_WD_D1_WVT,CV_WD_SD1_WVT,MaxWS_ms_Max,MaxWS_ms_TMx,AirT_C_Avg,VP_mbar_Avg,BP_mbar_Avg,RH,RHT_C_Avg,TiltNS_deg_Avg,TiltWE_deg_Avg,SlrTF_MJ_Tot,CVMeta,Invalid_Wind_Avg,WS_Avg,WS_S_WVT,WD_D1_WVT,WD_SD1_WVT,DT_Avg,TCDT_Avg,SnowDepth_Avg,gtmp_15_Avg
TS,RN,Volts,Deg C,W/m^2,mm,count,kilometers,kilometers,meters/second,meters/second,Deg,Deg,meters/second,meters/second,Deg C,mbar,mbar,%,Deg C,degrees,degrees,MJ/m^2,,,meters/second,meters/second,Deg,Deg,,,,Deg C
,,Avg,Avg,Avg,Tot,Tot,Max,TMx,Avg,WVc,WVc,WVc,Max,TMx,Avg,Avg,Avg,Smp,Avg,Avg,Avg,Tot,Smp,Avg,Avg,WVc,WVc,WVc,Avg,Avg,Avg,Avg
8/7/2025 13:15,0,13.43,8.05,118.8,0.255,0,0,8/7/2025 13:14,2.85,2.85,311.5,3.5,5.12,8/7/2025 13:14,5.35,8.1,799.1,91,7.3,1.7,1.7,0.014256,,0,1.597,1.597,332.6,0.014,226.1,228.3,-13.31,10.38
8/7/2025 13:30,1,13.47,7.969,215.6,0.442,0,0,8/7/2025 13:16,4.559,4.559,324.8,11.93,8.84,8/7/2025 13:22,5.74,8.173333,799.0334,91,6.867,1.687,1.7,0.194034,,0,4.162,4.162,332.9,0.368,218.3,220.6,-5.58,10.41
8/7/2025 13:45,2,13.9,9.16,581.3,0,0,0,8/7/2025 13:31,3.489,3.489,332.3,6.794,6.51,8/7/2025 13:39,5.887,8.966667,799.1,98,8.05,1.74,1.673,0.523128,,0,2.777,2.777,334.1,0.448,226.9,229.4,-14.37,10.44
8/7/2025 14:00,3,13.73,10.84,327.4,0,0,0,8/7/2025 13:46,3.339,3.339,331.9,5.413,7.28,8/7/2025 13:48,5.84,8.973333,799.1,91,8.7,1.68,1.667,0.29466,,0,2.636,2.636,334,0.28,222.4,224.8,-9.76,10.48
8/7/2025 14:15,4,13.57,10.43,231.4,0.272,0,0,8/7/2025 14:01,4.188,4.188,326.7,7.363,7.98,8/7/2025 14:09,5.993,8.706667,799.04,95,7.54,1.653,1.687,0.208242,,0,3.087,3.087,334.5,0.836,226.7,229.2,-14.16,10.54
8/7/2025 14:30,5,13.92,10.24,640.3,0,0,0,8/7/2025 14:16,4.384,4.384,333.7,6.671,8.02,8/7/2025 14:27,5.993,9.18,799.0667,96,8.38,1.66,1.653,0.576228,,0,3.364,3.364,335.2,0.471,226.7,229.2,-14.19,10.62
8/7/2025 14:45,6,13.79,11.2,396,0,0,0,8/7/2025 14:31,4.663,4.663,327.6,6.156,7.49,8/7/2025 14:37,6.447,9.366667,799.1133,94,8.9,1.633,1.687,0.356376,,0,3.529,3.529,335.1,0.525,227,229.6,-14.63,10.7
8/7/2025 15:00,7,13.91,11.48,587.8,0,0,0,8/7/2025 14:46,3.947,3.947,325.1,4.243,6.91,8/7/2025 14:47,6.34,9.446667,799.1533,99,9.05,1.653,1.68,0.529026,,0,2.974,2.974,335.3,0.415,226.9,229.5,-14.49,10.79
8/7/2025 15:15,8,13.78,12.42,362.3,0,0,0,8/7/2025 15:01,3.731,3.731,318.1,12.66,7.84,8/7/2025 15:10,6.72,9.573334,799.2266,91,10.06,1.64,1.68,0.3261,,0,2.679,2.679,335.1,0.636,227,229.8,-14.77,10.9
8/7/2025 15:30,9,13.48,11.91,91.4,0,0,0,8/7/2025 15:16,3.761,3.761,323.2,10.59,6.25,8/7/2025 15:21,6.7,8.966666,799.1133,91,8.16,1.653,1.7,0.082242,,0,2.701,2.701,335.2,0.698,227.4,230.2,-15.16,11.01
8/7/2025 15:45,10,13.81,11.19,477.4,0,0,0,8/7/2025 15:31,3.461,3.461,322.3,7.555,6.29,8/7/2025 15:44,6.993,9.68,799.1467,100,8.9,1.653,1.707,0.429654,,0,2.534,2.534,335.4,0.723,227.1,230,-14.95,11.11
8/7/2025 16:00,11,13.87,12.01,514.7,0,0,0,8/7/2025 15:46,3.916,3.916,319.2,5.918,6.69,8/7/2025 15:54,7.187,9.92,799.2,98,9.72,1.64,1.7,0.46326,,0,3.067,3.067,335.1,0.565,227.1,230,-15.02,11.17
8/7/2025 16:15,12,13.82,13.03,492.4,0,0,0,8/7/2025 16:01,3.993,3.993,314.6,7.371,7.42,8/7/2025 16:02,7.253,9.946667,799.1933,95,10.19,1.647,1.68,0.443124,,0,3.463,3.463,334.6,0.369,227.3,230.3,-15.28,11.24
8/7/2025 16:30,13,13.66,13,232.8,0,0,0,8/7/2025 16:16,3.468,3.468,330.7,17.34,6.46,8/7/2025 16:16,7.327,9.746667,799.1933,97,9.53,1.613,1.687,0.209484,,0,2.74,2.74,335.6,0.722,227.4,230.4,-15.44,11.33
8/7/2025 16:45,14,13.7,12.3,375.2,0,0,0,8/7/2025 16:31,4.315,4.315,317.7,5.196,6.79,8/7/2025 16:36,6.987,9.446667,799.2066,97,9.05,1.633,1.713,0.337644,,0,3.484,3.484,335.4,0.461,227.4,230.3,-15.31,11.42
8/7/2025 17:00,15,13.65,12.12,212.1,0,0,0,8/7/2025 16:46,3.075,3.075,333.4,14.67,5.86,8/7/2025 16:52,7.273,9.573333,799.2133,94,9.28,1.627,1.693,0.19086,,0,2.466,2.466,336.3,0.588,227.5,230.5,-15.48,11.5
8/7/2025 17:15,16,13.55,11.7,169.4,0,0,0,8/7/2025 17:01,3.336,3.336,335.4,14.94,7.05,8/7/2025 17:10,7.193,9.486667,799.2,92,9.01,1.627,1.7,0.15243,,0,2.531,2.531,336.4,0.474,227.4,230.4,-15.39,11.55
8/7/2025 17:30,17,13.46,11.15,124.3,0,0,0,8/7/2025 17:16,3.614,3.614,330.5,6.345,7.79,8/7/2025 17:16,7.08,9.213333,799.2,92,8.62,1.647,1.687,0.111882,,0,2.819,2.819,336.7,0.524,227.6,230.5,-15.48,11.58
8/7/2025 17:45,18,13.42,10.5,132.6,0,0,0,8/7/2025 17:31,3.67,3.67,330.8,7.042,6.58,8/7/2025 17:36,7.173,9.2,799.2066,89,8.47,1.647,1.693,0.119334,,0,2.95,2.95,336.8,0.625,227.6,230.5,-15.52,11.59
8/7/2025 18:00,19,13.32,10.03,73.79,0,0,0,8/7/2025 17:46,3.195,3.195,341.5,10.52,5.97,8/7/2025 17:54,7.327,9.2,799.24,90,8.37,1.68,1.707,0.066414,,0,2.358,2.358,337.7,1.016,227.5,230.5,-15.49,11.58
8/7/2025 18:15,20,13.22,9.67,51.65,0,0,0,8/7/2025 18:01,2.56,2.56,348.5,9.42,6.98,8/7/2025 18:02,7.233,9.033334,799.2866,89,8.22,1.68,1.687,0.046482,,0,1.787,1.787,338.4,0.452,227.5,230.5,-15.49,11.56
8/7/2025 18:30,21,13.19,9.52,78.84,0,0,0,8/7/2025 18:16,2.603,2.603,348.9,9.58,5.16,8/7/2025 18:27,7.447,9.26,799.3,89,8.34,1.64,1.7,0.070956,,0,1.797,1.797,338.3,0.516,227.4,230.5,-15.49,11.52
8/7/2025 18:45,22,13.18,9.54,214.1,0,0,0,8/7/2025 18:31,4.069,4.069,338.5,6.562,7.1,8/7/2025 18:37,8.05,9.18,799.3,86,8.42,1.613,1.687,0.192708,,0,2.966,2.966,338.6,0.619,227.3,230.6,-15.58,11.48
8/7/2025 19:00,23,13.22,9.97,198.6,0,0,0,8/7/2025 18:46,4.186,4.186,329.6,6.93,7.03,8/7/2025 18:46,8.25,9.4,799.32,86,8.94,1.613,1.673,0.17874,,0,3.616,3.616,338.7,0.772,227.3,230.7,-15.72,11.44
8/7/2025 19:15,24,13.17,10.21,94,0,0,0,8/7/2025 19:01,3.593,3.593,342.6,10.52,7.31,8/7/2025 19:12,8.17,9.293333,799.3,85,8.61,1.633,1.7,0.084582,,0,2.729,2.729,339,0.492,227.4,230.7,-15.74,11.39
8/7/2025 19:30,25,13.11,9.91,67.93,0,0,0,8/7/2025 19:16,4.279,4.279,337.6,13.69,8.42,8/7/2025 19:21,8.05,9.08,799.2066,84,8.23,1.633,1.673,0.06114,,0,3.17,3.17,339.9,0.623,227.4,230.8,-15.77,11.35
8/7/2025 19:45,26,13.06,9.58,67.15,0,0,0,8/7/2025 19:31,4.35,4.35,333.6,5.699,7.89,8/7/2025 19:42,7.907,9.013333,799.2,85,8.11,1.667,1.693,0.060432,,0,3.104,3.104,340.5,0.305,227.4,230.7,-15.67,11.31
8/7/2025 20:00,27,13.02,9.36,54.29,0,0,0,8/7/2025 19:46,4.704,4.704,335.2,7.082,8.14,8/7/2025 19:56,7.96,9.04,799.2133,85,7.907,1.633,1.693,0.048864,,0,3.373,3.373,340.8,0.149,227.5,230.7,-15.75,11.25
8/7/2025 20:15,28,12.97,8.98,26.39,0,0,0,8/7/2025 20:01,5.542,5.542,329.8,5.49,8.85,8/7/2025 20:03,7.887,9.006667,799.2667,85,7.633,1.673,1.707,0.023748,,0,3.955,3.955,341.3,0.743,227.5,230.8,-15.77,11.19
8/7/2025 20:30,29,12.92,8.68,13.75,0,0,0,8/7/2025 20:16,5.725,5.725,333,5.51,8.91,8/7/2025 20:25,7.907,9.086667,799.2266,85,7.647,1.66,1.687,0.012372,,0,4.03,4.03,343.2,0.679,227.6,230.8,-15.85,11.12
8/7/2025 20:45,30,12.89,8.6,8.81,0,0,0,8/7/2025 20:31,5.92,5.92,339.6,5.528,10.88,8/7/2025 20:35,7.893,9.1,799.1933,85,7.693,1.66,1.673,0.007925999,,0,4.176,4.176,346.1,2.163,227.6,230.8,-15.82,11.04
8/7/2025 21:00,31,12.86,8.46,0,0,0,0,8/7/2025 20:46,5.272,5.272,342.1,7.048,9.79,8/7/2025 20:48,7.74,9.026667,799.14,84,7.433,1.667,1.707,0,,0,3.71,3.71,350.1,2.043,227.6,230.8,-15.78,10.96
8/7/2025 21:15,32,12.83,8.24,0,0,0,0,8/7/2025 21:01,4.753,4.753,342.7,7.139,8.57,8/7/2025 21:12,7.633,9,799.2533,87,7.28,1.7,1.687,0,,0,3.224,3.224,355.2,2.679,227.6,230.8,-15.76,10.88
8/7/2025 21:30,33,12.82,8.11,0,0,0,0,8/7/2025 21:16,4.499,4.499,346.1,6.726,7.88,8/7/2025 21:20,7.573,9.006667,799.2533,87,7.18,1.68,1.7,0,,0,3.114,3.114,0.318,0.264,227.6,230.7,-15.7,10.8
8/7/2025 21:45,34,12.8,8.03,0,0,0,0,8/7/2025 21:31,5.153,5.153,343,6.324,8.27,8/7/2025 21:40,7.587,9.1,799.2466,88,7.233,1.66,1.673,0,,0,3.622,3.622,1.848,0.949,227.5,230.7,-15.68,10.72
8/7/2025 22:00,35,12.79,7.97,0,0,0,0,8/7/2025 21:46,4.599,4.599,348.9,8.08,9.92,8/7/2025 22:00,7.507,9.053333,799.14,87,7.1,1.673,1.667,0,,0,3.269,3.269,4.777,1.655,227.6,230.7,-15.66,10.65
8/7/2025 22:15,36,12.77,7.815,0,0,0,0,8/7/2025 22:01,4.996,4.996,353.7,9.19,9.5,8/7/2025 22:01,7.467,8.933333,799.1,86,6.973,1.66,1.673,0,,0,3.777,3.777,7.202,0.704,227.6,230.7,-15.66,10.58
8/7/2025 22:30,37,12.76,7.65,0,0,0,0,8/7/2025 22:16,4.591,4.591,358.1,5.415,9.34,8/7/2025 22:23,7.36,8.92,799.0934,87,6.893,1.687,1.687,0,,0,3.637,3.637,6.935,0.52,227.5,230.6,-15.57,10.51
8/7/2025 22:45,38,12.75,7.615,0,0,0,0,8/7/2025 22:31,4.819,4.819,353.6,4.732,8.77,8/7/2025 22:45,7.447,9.02,799.0934,87,7.047,1.673,1.68,0,,0,3.73,3.73,6.703,0.528,227.6,230.6,-15.64,10.43
8/7/2025 23:00,39,12.74,7.751,0,0,0,0,8/7/2025 22:46,4.73,4.73,354.4,7.309,8.15,8/7/2025 22:51,7.487,9.1,799.1267,88,7.293,1.653,1.7,0,,0,3.616,3.616,6.829,0.619,227.5,230.6,-15.58,10.36
8/7/2025 23:15,40,12.73,7.938,0,0,0,0,8/7/2025 23:01,4.486,4.486,355.9,4.439,7.79,8/7/2025 23:02,7.493,9.1,799.22,88,7.367,1.613,1.653,0,,0,3.505,3.505,6.957,0.295,227.4,230.5,-15.54,10.3
8/7/2025 23:30,41,12.72,8.08,0,0,0,0,8/7/2025 23:16,5.531,5.531,353.8,3.063,8.78,8/7/2025 23:19,7.54,9.053333,799.1933,87,7.42,1.673,1.673,0,,0,4.412,4.412,6.51,0.901,227.6,230.7,-15.67,10.25
8/7/2025 23:45,42,12.71,8.15,0,0,0,0,8/7/2025 23:31,4.527,4.527,0.316,5.843,9.56,8/7/2025 23:35,7.46,8.986667,799.2,87,7.36,1.64,1.7,0,,0,3.433,3.433,7.093,1.044,227.5,230.6,-15.6,10.2
8/8/2025 0:00,43,12.7,8.12,0,0,0,0,8/7/2025 23:46,4.543,4.543,360,5.5,9.05,8/8/2025 0:00,7.493,8.993333,799.16,86,7.32,1.673,1.693,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.478,3.478,7.503,1.02,227.5,230.6,-15.58,10.15
8/8/2025 0:15,44,12.69,8.14,0,0,0,0,8/8/2025 0:01,5.902,5.902,352.5,5.558,10.84,8/8/2025 0:14,7.707,9.006667,799.1666,85,7.527,1.693,1.68,0,013CAMPBELLCV50G2611VUE50B0001160,0,4.662,4.662,8.64,0.63,227.4,230.6,-15.63,10.11
8/8/2025 0:30,45,12.68,8.27,0,0,0,0,8/8/2025 0:16,6.521,6.521,346.9,6.11,10.46,8/8/2025 0:22,7.773,9.093333,799.1533,86,7.687,1.627,1.687,0,013CAMPBELLCV50G2611VUE50B0001160,0,5.212,5.212,8.38,0.309,227.4,230.6,-15.6,10.07
8/8/2025 0:45,46,12.67,8.41,0,0,0,0,8/8/2025 0:31,6.073,6.073,343.1,10.83,10.11,8/8/2025 0:43,7.76,9.046667,799.2066,86,7.707,1.747,1.713,0,013CAMPBELLCV50G2611VUE50B0001160,0,4.718,4.718,8.12,0.403,227.4,230.6,-15.64,10.03
8/8/2025 1:00,47,12.66,8.46,0,0,0,0,8/8/2025 0:46,5.026,5.026,346.5,8.08,9.59,8/8/2025 0:56,7.653,9.006667,799.2067,86,7.693,1.653,1.72,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.885,3.885,8.6,0.523,227.4,230.6,-15.59,9.99
8/8/2025 1:15,48,12.65,8.46,0,0,0,0,8/8/2025 1:01,4.842,4.842,347.7,5.392,9.89,8/8/2025 1:07,7.7,9.013333,799.18,86,7.66,1.613,1.707,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.824,3.824,9.03,0.484,227.4,230.6,-15.6,9.96
8/8/2025 1:30,49,12.64,8.45,0,0,0,0,8/8/2025 1:16,4.554,4.554,351.5,3.513,7.91,8/8/2025 1:27,7.607,9,799.2,87,7.6,1.673,1.673,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.556,3.556,10.03,0.7,227.5,230.6,-15.63,9.93
8/8/2025 1:45,50,12.63,8.41,0,0,0,0,8/8/2025 1:31,4.478,4.478,355.9,5.899,8.12,8/8/2025 1:36,7.573,9.053333,799.1733,87,7.547,1.647,1.68,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.451,3.451,11.46,0.926,227.5,230.6,-15.63,9.9
8/8/2025 2:00,51,12.62,8.35,0,0,0,0,8/8/2025 1:46,4.487,4.487,353.2,5.216,8.43,8/8/2025 1:46,7.607,9.086667,799.1533,88,7.5,1.707,1.687,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.533,3.533,12.61,0.562,227.5,230.6,-15.62,9.87
8/8/2025 2:15,52,12.62,8.29,0,0,0,0,8/8/2025 2:01,4.4,4.4,352.4,4.815,7.85,8/8/2025 2:06,7.547,9.1,799.1467,88,7.453,1.66,1.667,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.526,3.526,12.48,0.3,227.5,230.6,-15.6,9.84
8/8/2025 2:30,53,12.61,8.23,0,0,0,0,8/8/2025 2:16,4.429,4.429,349.7,5.295,8.63,8/8/2025 2:20,7.447,9.1,799.1133,89,7.4,1.647,1.693,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.445,3.445,12.41,0.327,227.5,230.6,-15.62,9.81
8/8/2025 2:45,54,12.6,8.2,0,0,0,0,8/8/2025 2:31,3.705,3.705,359,6.551,7.68,8/8/2025 2:36,7.38,9.133333,799.1,89,7.393,1.667,1.673,0,013CAMPBELLCV50G2611VUE50B0001160,0,2.876,2.876,12.71,0.477,227.5,230.6,-15.56,9.78
8/8/2025 3:00,55,12.59,8.15,0,0,0,0,8/8/2025 2:46,3.837,3.837,359.4,4.484,7.01,8/8/2025 2:54,7.4,9.086667,799.0134,88,7.273,1.647,1.693,0,013CAMPBELLCV50G2611VUE50B0001160,0,2.971,2.971,13.06,0.287,227.5,230.6,-15.56,9.75
8/8/2025 3:15,56,12.58,7.961,0,0,0,0,8/8/2025 3:01,4.296,4.296,351.9,2.28,7.76,8/8/2025 3:02,7.247,9,799.04,88,7.04,1.633,1.653,0,013CAMPBELLCV50G2611VUE50B0001160,0,3.342,3.342,13.13,0.353,227.5,230.5,-15.53,9.72
8/8/2025 3:30,57,12.57,7.708,0,0,0,0,8/8/2025 3:16,3.564,3.564,356.2,6.433,6.21,8/8/2025 3:28,7.187,9,799.02,89,6.867,1.68,1.68,0,013CAMPBELLCV50G2611VUE50B0001160,0,2.728,2.728,13.33,0.566,227.5,230.5,-15.49,9.69
